Code,Center Name,Purchase Date,Indent Date,No of Purchy,Qty in Qtls
1,GATE,23-11-2022,19-11-2022,228,15311.49
1,GATE,23-11-2022,21-11-2022,22,1620.21
1,GATE,23-11-2022,22-11-2022,41,3005.64
1,GATE,23-11-2022,23-11-2022,134,7017.67
1,GATE,23-11-2022,24-11-2022,15,1021.56
1,GATE,24-11-2022,16-11-2022,1,63.76
1,GATE,24-11-2022,17-11-2022,76,2656.64
1,GATE,24-11-2022,18-11-2022,160,7641.34
1,GATE,24-11-2022,19-11-2022,202,12427.17
1,GATE,24-11-2022,21-11-2022,16,916.13
1,GATE,24-11-2022,22-11-2022,49,3375.77
1,GATE,24-11-2022,23-11-2022,84,4820.17
1,GATE,24-11-2022,24-11-2022,116,6839.73
1,GATE,24-11-2022,25-11-2022,75,5102.74
1,GATE,25-11-2022,17-11-2022,4,136.42
1,GATE,25-11-2022,18-11-2022,80,2800.27
1,GATE,25-11-2022,19-11-2022,110,5719.69
1,GATE,25-11-2022,21-11-2022,7,250.47
1,GATE,25-11-2022,22-11-2022,26,1833.36
1,GATE,25-11-2022,23-11-2022,50,2374.10
1,GATE,25-11-2022,24-11-2022,87,4408.57
1,GATE,25-11-2022,25-11-2022,269,16263.86
1,GATE,25-11-2022,26-11-2022,77,5429.53
1,GATE,26-11-2022,18-11-2022,4,126.03
1,GATE,26-11-2022,19-11-2022,46,1757.24
1,GATE,26-11-2022,21-11-2022,9,437.18
1,GATE,26-11-2022,22-11-2022,12,635.48
1,GATE,26-11-2022,23-11-2022,54,2010.66
1,GATE,26-11-2022,24-11-2022,80,3704.75
1,GATE,26-11-2022,25-11-2022,212,11501.32
1,GATE,26-11-2022,26-11-2022,220,12572.58
1,GATE,26-11-2022,27-11-2022,95,6173.82
1,GATE,27-11-2022,22-11-2022,16,731.10
1,GATE,27-11-2022,23-11-2022,51,1909.86
1,GATE,27-11-2022,24-11-2022,71,3042.73
1,GATE,27-11-2022,25-11-2022,157,7997.59
1,GATE,27-11-2022,26-11-2022,162,8816.56
1,GATE,27-11-2022,27-11-2022,282,15273.98
1,GATE,27-11-2022,28-11-2022,74,4662.55
1,GATE,28-11-2022,22-11-2022,1,64.15
1,GATE,28-11-2022,23-11-2022,31,1191.93
1,GATE,28-11-2022,24-11-2022,25,1078.40
1,GATE,28-11-2022,25-11-2022,93,4758.37
1,GATE,28-11-2022,26-11-2022,130,7235.88
1,GATE,28-11-2022,27-11-2022,177,9750.01
1,GATE,28-11-2022,28-11-2022,228,12665.37
1,GATE,28-11-2022,29-11-2022,49,3014.44
1,GATE,29-11-2022,24-11-2022,3,158.31
1,GATE,29-11-2022,25-11-2022,54,2593.86
1,GATE,29-11-2022,26-11-2022,77,4442.72
1,GATE,29-11-2022,27-11-2022,131,8050.92
1,GATE,29-11-2022,28-11-2022,155,8668.26
1,GATE,29-11-2022,29-11-2022,267,15737.79
1,GATE,29-11-2022,30-11-2022,33,2103.10
1,GATE,30-11-2022,25-11-2022,2,131.67
1,GATE,30-11-2022,26-11-2022,65,3287.18
1,GATE,30-11-2022,27-11-2022,89,4516.59
1,GATE,30-11-2022,28-11-2022,100,5678.12
1,GATE,30-11-2022,29-11-2022,160,9354.04
1,GATE,30-11-2022,30-11-2022,256,17212.03
1,GATE,30-11-2022,01-12-2022,17,1233.54
1,GATE,01-12-2022,26-11-2022,5,329.47
1,GATE,01-12-2022,27-11-2022,82,4343.07
1,GATE,01-12-2022,28-11-2022,80,4069.18
1,GATE,01-12-2022,29-11-2022,146,8649.33
1,GATE,01-12-2022,30-11-2022,192,12775.80
1,GATE,01-12-2022,01-12-2022,174,10889.50
1,GATE,01-12-2022,02-12-2022,10,546.17
1,GATE,02-12-2022,27-11-2022,2,135.13
1,GATE,02-12-2022,28-11-2022,70,3825.85
1,GATE,02-12-2022,29-11-2022,108,6187.13
1,GATE,02-12-2022,30-11-2022,140,8285.48
1,GATE,02-12-2022,01-12-2022,190,11846.61
1,GATE,02-12-2022,02-12-2022,152,9294.98
1,GATE,02-12-2022,03-12-2022,12,795.35
1,GATE,03-12-2022,29-11-2022,61,2801.17
1,GATE,03-12-2022,30-11-2022,89,5013.10
1,GATE,03-12-2022,01-12-2022,168,9868.35
1,GATE,03-12-2022,02-12-2022,143,8450.88
1,GATE,03-12-2022,03-12-2022,132,8275.87
1,GATE,03-12-2022,04-12-2022,38,2522.42
1,GATE,04-12-2022,29-11-2022,2,133.65
1,GATE,04-12-2022,30-11-2022,64,3041.89
1,GATE,04-12-2022,01-12-2022,85,4524.13
1,GATE,04-12-2022,02-12-2022,111,6407.29
1,GATE,04-12-2022,03-12-2022,86,5378.14
1,GATE,04-12-2022,04-12-2022,208,12406.47
1,GATE,04-12-2022,05-12-2022,57,3984.43
1,GATE,05-12-2022,30-11-2022,2,90.98
1,GATE,05-12-2022,01-12-2022,53,2975.11
1,GATE,05-12-2022,02-12-2022,49,2757.51
1,GATE,05-12-2022,03-12-2022,65,3914.43
1,GATE,05-12-2022,04-12-2022,118,7308.82
1,GATE,05-12-2022,05-12-2022,205,14428.80
1,GATE,05-12-2022,06-12-2022,59,3192.88
1,GATE,06-12-2022,02-12-2022,28,1693.27
1,GATE,06-12-2022,03-12-2022,35,2392.43
1,GATE,06-12-2022,04-12-2022,83,5528.38
1,GATE,06-12-2022,05-12-2022,135,9400.19
1,GATE,06-12-2022,06-12-2022,222,14227.92
1,GATE,06-12-2022,07-12-2022,95,6384.08
1,GATE,07-12-2022,03-12-2022,19,1346.31
1,GATE,07-12-2022,04-12-2022,38,2452.03
1,GATE,07-12-2022,05-12-2022,80,5340.73
1,GATE,07-12-2022,06-12-2022,124,7818.85
1,GATE,07-12-2022,07-12-2022,202,13787.68
1,GATE,07-12-2022,08-12-2022,67,4564.33
1,GATE,08-12-2022,04-12-2022,14,1014.44
1,GATE,08-12-2022,05-12-2022,48,3288.77
1,GATE,08-12-2022,06-12-2022,110,7524.84
1,GATE,08-12-2022,07-12-2022,128,8997.77
1,GATE,08-12-2022,08-12-2022,199,14567.36
1,GATE,08-12-2022,09-12-2022,47,3236.35
1,GATE,09-12-2022,05-12-2022,21,1461.15
1,GATE,09-12-2022,06-12-2022,44,3019.36
1,GATE,09-12-2022,07-12-2022,91,6603.19
1,GATE,09-12-2022,08-12-2022,124,8688.50
1,GATE,09-12-2022,09-12-2022,187,13449.50
1,GATE,09-12-2022,10-12-2022,53,3403.58
1,GATE,10-12-2022,05-12-2022,1,77.91
1,GATE,10-12-2022,06-12-2022,28,1892.84
1,GATE,10-12-2022,07-12-2022,47,3152.37
1,GATE,10-12-2022,08-12-2022,92,6191.83
1,GATE,10-12-2022,09-12-2022,141,10159.53
1,GATE,10-12-2022,10-12-2022,177,12437.30
1,GATE,10-12-2022,11-12-2022,20,1268.67
1,GATE,11-12-2022,06-12-2022,1,79.99
1,GATE,11-12-2022,08-12-2022,16,1163.83
1,GATE,11-12-2022,09-12-2022,26,1985.12
1,GATE,11-12-2022,10-12-2022,36,2316.49
1,GATE,11-12-2022,11-12-2022,16,1027.04
1,GATE,11-12-2022,12-12-2022,28,1571.49
1,GATE,12-12-2022,08-12-2022,50,3746.16
1,GATE,12-12-2022,09-12-2022,88,6271.01
1,GATE,12-12-2022,10-12-2022,115,8194.96
1,GATE,12-12-2022,11-12-2022,51,3613.19
1,GATE,12-12-2022,12-12-2022,192,12196.66
1,GATE,12-12-2022,13-12-2022,32,1851.48
1,GATE,13-12-2022,08-12-2022,4,270.47
1,GATE,13-12-2022,09-12-2022,28,2101.69
1,GATE,13-12-2022,10-12-2022,66,4706.24
1,GATE,13-12-2022,11-12-2022,25,1698.93
1,GATE,13-12-2022,12-12-2022,175,12093.35
1,GATE,13-12-2022,13-12-2022,176,11472.78
1,GATE,13-12-2022,14-12-2022,44,2772.66
1,GATE,14-12-2022,09-12-2022,1,60.09
1,GATE,14-12-2022,10-12-2022,24,1627.04
1,GATE,14-12-2022,11-12-2022,23,1629.82
1,GATE,14-12-2022,12-12-2022,95,6698.78
1,GATE,14-12-2022,13-12-2022,103,7271.24
1,GATE,14-12-2022,14-12-2022,176,11960.98
1,GATE,14-12-2022,15-12-2022,28,1467.38
1,GATE,15-12-2022,11-12-2022,4,324.53
1,GATE,15-12-2022,12-12-2022,88,6013.91
1,GATE,15-12-2022,13-12-2022,114,8097.52
1,GATE,15-12-2022,14-12-2022,150,10028.45
1,GATE,15-12-2022,15-12-2022,127,8565.26
1,GATE,15-12-2022,16-12-2022,21,1402.23
1,GATE,16-12-2022,12-12-2022,29,2054.22
1,GATE,16-12-2022,13-12-2022,70,5023.90
1,GATE,16-12-2022,14-12-2022,94,6660.16
1,GATE,16-12-2022,15-12-2022,144,10103.98
1,GATE,16-12-2022,16-12-2022,117,8568.79
1,GATE,16-12-2022,17-12-2022,47,3224.53
1,GATE,17-12-2022,13-12-2022,28,2017.80
1,GATE,17-12-2022,14-12-2022,58,4083.32
1,GATE,17-12-2022,15-12-2022,102,7425.04
1,GATE,17-12-2022,16-12-2022,92,6479.28
1,GATE,17-12-2022,17-12-2022,204,13380.87
1,GATE,17-12-2022,18-12-2022,68,4979.88
1,GATE,18-12-2022,13-12-2022,1,67.81
1,GATE,18-12-2022,14-12-2022,11,820.82
1,GATE,18-12-2022,15-12-2022,46,3224.21
1,GATE,18-12-2022,16-12-2022,59,4085.21
1,GATE,18-12-2022,17-12-2022,174,12092.92
1,GATE,18-12-2022,18-12-2022,233,16905.57
1,GATE,18-12-2022,19-12-2022,107,7520.80
1,GATE,19-12-2022,15-12-2022,4,291.16
1,GATE,19-12-2022,16-12-2022,10,716.96
1,GATE,19-12-2022,17-12-2022,74,5103.78
1,GATE,19-12-2022,18-12-2022,80,5003.41
1,GATE,19-12-2022,19-12-2022,217,15562.48
1,GATE,19-12-2022,20-12-2022,78,5411.86
1,GATE,20-12-2022,16-12-2022,4,229.19
1,GATE,20-12-2022,17-12-2022,36,2514.47
1,GATE,20-12-2022,18-12-2022,88,5273.37
1,GATE,20-12-2022,19-12-2022,107,7437.09
1,GATE,20-12-2022,20-12-2022,212,14640.64
1,GATE,20-12-2022,21-12-2022,61,4431.50
1,GATE,21-12-2022,17-12-2022,13,853.96
1,GATE,21-12-2022,18-12-2022,44,2672.87
1,GATE,21-12-2022,19-12-2022,66,4268.24
1,GATE,21-12-2022,20-12-2022,125,8787.17
1,GATE,21-12-2022,21-12-2022,217,15054.33
1,GATE,21-12-2022,22-12-2022,38,2546.47
1,GATE,22-12-2022,18-12-2022,22,1438.17
1,GATE,22-12-2022,19-12-2022,37,2491.69
1,GATE,22-12-2022,20-12-2022,87,6003.58
1,GATE,22-12-2022,21-12-2022,122,8510.37
1,GATE,22-12-2022,22-12-2022,175,11900.72
1,GATE,22-12-2022,23-12-2022,49,3287.95
1,GATE,23-12-2022,19-12-2022,7,524.10
1,GATE,23-12-2022,20-12-2022,40,2848.39
1,GATE,23-12-2022,21-12-2022,71,5203.89
1,GATE,23-12-2022,22-12-2022,106,7412.32
1,GATE,23-12-2022,23-12-2022,176,11816.76
1,GATE,23-12-2022,24-12-2022,59,3865.28
1,GATE,24-12-2022,20-12-2022,8,521.94
1,GATE,24-12-2022,21-12-2022,27,1883.35
1,GATE,24-12-2022,22-12-2022,67,4570.93
1,GATE,24-12-2022,23-12-2022,113,7151.95
1,GATE,24-12-2022,24-12-2022,230,14640.93
1,GATE,24-12-2022,25-12-2022,58,3872.06
1,GATE,25-12-2022,20-12-2022,1,76.53
1,GATE,25-12-2022,21-12-2022,11,795.25
1,GATE,25-12-2022,22-12-2022,23,1632.01
1,GATE,25-12-2022,23-12-2022,62,4160.65
1,GATE,25-12-2022,24-12-2022,203,12006.89
1,GATE,25-12-2022,25-12-2022,207,12838.49
1,GATE,25-12-2022,26-12-2022,43,2720.48
1,GATE,26-12-2022,22-12-2022,13,828.82
1,GATE,26-12-2022,23-12-2022,47,3140.14
1,GATE,26-12-2022,24-12-2022,111,6602.43
1,GATE,26-12-2022,25-12-2022,125,8113.86
1,GATE,26-12-2022,26-12-2022,159,10351.39
1,GATE,26-12-2022,27-12-2022,37,2180.27
1,GATE,27-12-2022,23-12-2022,21,1404.69
1,GATE,27-12-2022,24-12-2022,100,5805.83
1,GATE,27-12-2022,25-12-2022,96,6086.00
1,GATE,27-12-2022,26-12-2022,119,7771.95
1,GATE,27-12-2022,27-12-2022,202,12096.80
1,GATE,27-12-2022,28-12-2022,29,1972.55
1,GATE,28-12-2022,24-12-2022,47,3065.58
1,GATE,28-12-2022,25-12-2022,61,3676.14
1,GATE,28-12-2022,26-12-2022,108,6893.53
1,GATE,28-12-2022,27-12-2022,159,10180.76
1,GATE,28-12-2022,28-12-2022,204,13002.89
1,GATE,28-12-2022,29-12-2022,9,619.92
1,GATE,29-12-2022,24-12-2022,1,67.02
1,GATE,29-12-2022,25-12-2022,37,2268.60
1,GATE,29-12-2022,26-12-2022,67,4418.35
1,GATE,29-12-2022,27-12-2022,141,9015.65
1,GATE,29-12-2022,28-12-2022,172,11444.21
1,GATE,29-12-2022,29-12-2022,112,7292.11
1,GATE,29-12-2022,30-12-2022,10,685.66
1,GATE,30-12-2022,25-12-2022,1,81.08
1,GATE,30-12-2022,26-12-2022,29,1992.76
1,GATE,30-12-2022,27-12-2022,96,6275.82
1,GATE,30-12-2022,28-12-2022,145,9471.16
1,GATE,30-12-2022,29-12-2022,159,10571.65
1,GATE,30-12-2022,30-12-2022,89,5803.44
1,GATE,30-12-2022,31-12-2022,57,3730.88
1,GATE,31-12-2022,27-12-2022,1,32.67
1,GATE,31-12-2022,28-12-2022,3,219.88
1,GATE,31-12-2022,29-12-2022,10,591.92
1,GATE,31-12-2022,30-12-2022,2,147.81
1,GATE,31-12-2022,31-12-2022,7,449.95
1,GATE,31-12-2022,01-01-2023,1,74.35
1,GATE,01-01-2023,27-12-2022,38,2490.75
1,GATE,01-01-2023,28-12-2022,54,3459.81
1,GATE,01-01-2023,29-12-2022,103,6922.15
1,GATE,01-01-2023,30-12-2022,81,5598.59
1,GATE,01-01-2023,31-12-2022,150,10361.32
1,GATE,01-01-2023,01-01-2023,72,4866.60
1,GATE,01-01-2023,02-01-2023,24,1730.70
1,GATE,02-01-2023,28-12-2022,13,941.18
1,GATE,02-01-2023,29-12-2022,35,2480.13
1,GATE,02-01-2023,30-12-2022,58,4038.66
1,GATE,02-01-2023,31-12-2022,136,9824.63
1,GATE,02-01-2023,01-01-2023,86,6193.09
1,GATE,02-01-2023,02-01-2023,80,5537.12
1,GATE,02-01-2023,03-01-2023,93,6781.06
1,GATE,03-01-2023,29-12-2022,3,224.62
1,GATE,03-01-2023,30-12-2022,11,727.06
1,GATE,03-01-2023,31-12-2022,30,2103.84
1,GATE,03-01-2023,01-01-2023,24,1713.96
1,GATE,03-01-2023,02-01-2023,88,5746.59
1,GATE,03-01-2023,03-01-2023,226,15625.13
1,GATE,03-01-2023,04-01-2023,85,6157.83
1,GATE,04-01-2023,01-01-2023,6,300.56
1,GATE,04-01-2023,02-01-2023,64,3871.50
1,GATE,04-01-2023,03-01-2023,132,8770.48
1,GATE,04-01-2023,04-01-2023,185,12557.36
1,GATE,04-01-2023,05-01-2023,43,3117.62
1,GATE,05-01-2023,01-01-2023,1,72.47
1,GATE,05-01-2023,02-01-2023,31,1834.26
1,GATE,05-01-2023,03-01-2023,71,4418.64
1,GATE,05-01-2023,04-01-2023,150,10108.65
1,GATE,05-01-2023,05-01-2023,174,11846.12
1,GATE,05-01-2023,06-01-2023,41,2901.78
1,GATE,06-01-2023,03-01-2023,32,1973.77
1,GATE,06-01-2023,04-01-2023,105,6711.26
1,GATE,06-01-2023,05-01-2023,155,10693.40
1,GATE,06-01-2023,06-01-2023,161,10872.58
1,GATE,06-01-2023,07-01-2023,35,2325.00
1,GATE,07-01-2023,04-01-2023,66,4188.58
1,GATE,07-01-2023,05-01-2023,154,10528.19
1,GATE,07-01-2023,06-01-2023,155,10266.56
1,GATE,07-01-2023,07-01-2023,176,11615.69
1,GATE,07-01-2023,08-01-2023,37,2649.52
1,GATE,08-01-2023,04-01-2023,10,654.77
1,GATE,08-01-2023,05-01-2023,73,5130.58
1,GATE,08-01-2023,06-01-2023,140,9181.53
1,GATE,08-01-2023,07-01-2023,143,9350.83
1,GATE,08-01-2023,08-01-2023,183,12086.17
1,GATE,08-01-2023,09-01-2023,24,1775.05
1,GATE,09-01-2023,06-01-2023,134,9006.63
1,GATE,09-01-2023,07-01-2023,121,8496.76
1,GATE,09-01-2023,08-01-2023,156,10273.12
1,GATE,09-01-2023,09-01-2023,106,6932.53
1,GATE,09-01-2023,10-01-2023,56,3647.90
1,GATE,10-01-2023,05-01-2023,1,67.52
1,GATE,10-01-2023,06-01-2023,6,418.07
1,GATE,10-01-2023,07-01-2023,68,4575.06
1,GATE,10-01-2023,08-01-2023,140,9882.14
1,GATE,10-01-2023,09-01-2023,89,5877.95
1,GATE,10-01-2023,10-01-2023,203,12976.16
1,GATE,10-01-2023,11-01-2023,19,1239.87
1,GATE,11-01-2023,07-01-2023,2,179.98
1,GATE,11-01-2023,08-01-2023,31,1962.29
1,GATE,11-01-2023,09-01-2023,47,3248.55
1,GATE,11-01-2023,10-01-2023,108,6468.62
1,GATE,11-01-2023,11-01-2023,305,19992.44
1,GATE,11-01-2023,12-01-2023,4,164.94
1,GATE,12-01-2023,08-01-2023,1,60.98
1,GATE,12-01-2023,09-01-2023,17,1218.47
1,GATE,12-01-2023,10-01-2023,84,5236.69
1,GATE,12-01-2023,11-01-2023,155,9957.64
1,GATE,12-01-2023,12-01-2023,268,17800.70
1,GATE,12-01-2023,13-01-2023,5,125.13
1,GATE,13-01-2023,09-01-2023,2,145.04
1,GATE,13-01-2023,10-01-2023,33,2029.89
1,GATE,13-01-2023,11-01-2023,69,3905.33
1,GATE,13-01-2023,12-01-2023,176,11428.92
1,GATE,13-01-2023,13-01-2023,267,16933.13
1,GATE,13-01-2023,14-01-2023,2,48.11
1,GATE,14-01-2023,10-01-2023,6,397.38
1,GATE,14-01-2023,11-01-2023,29,1797.24
1,GATE,14-01-2023,12-01-2023,106,7401.71
1,GATE,14-01-2023,13-01-2023,167,11498.67
1,GATE,14-01-2023,14-01-2023,212,14020.17
1,GATE,14-01-2023,15-01-2023,1,24.85
1,GATE,15-01-2023,11-01-2023,4,278.09
1,GATE,15-01-2023,12-01-2023,48,3324.79
1,GATE,15-01-2023,13-01-2023,98,6955.90
1,GATE,15-01-2023,14-01-2023,193,13163.87
1,GATE,15-01-2023,15-01-2023,137,9349.99
1,GATE,15-01-2023,16-01-2023,3,77.02
1,GATE,16-01-2023,12-01-2023,4,291.95
1,GATE,16-01-2023,13-01-2023,30,1981.08
1,GATE,16-01-2023,14-01-2023,128,8420.02
1,GATE,16-01-2023,15-01-2023,127,8202.49
1,GATE,16-01-2023,16-01-2023,188,12684.54
1,GATE,17-01-2023,13-01-2023,6,434.81
1,GATE,17-01-2023,14-01-2023,84,5658.72
1,GATE,17-01-2023,15-01-2023,105,6833.51
1,GATE,17-01-2023,16-01-2023,153,10000.74
1,GATE,17-01-2023,17-01-2023,145,9686.75
1,GATE,18-01-2023,14-01-2023,15,1074.36
1,GATE,18-01-2023,15-01-2023,66,4602.52
1,GATE,18-01-2023,16-01-2023,96,6509.19
1,GATE,18-01-2023,17-01-2023,141,9712.36
1,GATE,18-01-2023,18-01-2023,216,15179.37
1,GATE,18-01-2023,19-01-2023,3,73.35
1,GATE,19-01-2023,15-01-2023,17,1227.60
1,GATE,19-01-2023,16-01-2023,63,4294.69
1,GATE,19-01-2023,17-01-2023,110,7824.15
1,GATE,19-01-2023,18-01-2023,138,9560.56
1,GATE,19-01-2023,19-01-2023,249,14369.12
1,GATE,19-01-2023,20-01-2023,3,71.67
1,GATE,20-01-2023,16-01-2023,2,146.62
1,GATE,20-01-2023,17-01-2023,25,1713.49
1,GATE,20-01-2023,18-01-2023,34,2423.89
1,GATE,20-01-2023,19-01-2023,61,3851.66
1,GATE,20-01-2023,20-01-2023,5,197.11
1,GATE,20-01-2023,21-01-2023,6,236.81
1,GATE,21-01-2023,16-01-2023,6,434.81
1,GATE,21-01-2023,17-01-2023,61,4267.16
1,GATE,21-01-2023,18-01-2023,87,6100.26
1,GATE,21-01-2023,19-01-2023,199,12542.44
1,GATE,21-01-2023,20-01-2023,112,7569.07
1,GATE,21-01-2023,21-01-2023,150,8580.64
1,GATE,21-01-2023,22-01-2023,5,202.05
1,GATE,22-01-2023,17-01-2023,10,661.02
1,GATE,22-01-2023,18-01-2023,33,2474.19
1,GATE,22-01-2023,19-01-2023,101,6761.88
1,GATE,22-01-2023,20-01-2023,70,4607.12
1,GATE,22-01-2023,21-01-2023,220,14353.46
1,GATE,22-01-2023,22-01-2023,151,8726.13
1,GATE,22-01-2023,23-01-2023,5,122.65
1,GATE,23-01-2023,18-01-2023,5,375.10
1,GATE,23-01-2023,19-01-2023,20,1378.49
1,GATE,23-01-2023,20-01-2023,36,2322.31
1,GATE,23-01-2023,21-01-2023,154,10272.09
1,GATE,23-01-2023,22-01-2023,162,10159.42
1,GATE,23-01-2023,23-01-2023,180,11048.48
1,GATE,23-01-2023,24-01-2023,4,97.11
1,GATE,24-01-2023,20-01-2023,8,573.11
1,GATE,24-01-2023,21-01-2023,53,3577.25
1,GATE,24-01-2023,22-01-2023,99,5857.75
1,GATE,24-01-2023,23-01-2023,168,11124.35
1,GATE,24-01-2023,24-01-2023,215,12784.18
1,GATE,24-01-2023,25-01-2023,6,153.74
1,GATE,25-01-2023,21-01-2023,15,1051.97
1,GATE,25-01-2023,22-01-2023,41,2374.20
1,GATE,25-01-2023,23-01-2023,81,5224.47
1,GATE,25-01-2023,24-01-2023,178,12166.90
1,GATE,25-01-2023,25-01-2023,221,14839.22
1,GATE,25-01-2023,26-01-2023,3,72.56
1,GATE,26-01-2023,22-01-2023,11,787.15
1,GATE,26-01-2023,23-01-2023,45,2840.65
1,GATE,26-01-2023,24-01-2023,97,6071.71
1,GATE,26-01-2023,25-01-2023,186,12241.33
1,GATE,26-01-2023,26-01-2023,185,11305.44
1,GATE,26-01-2023,27-01-2023,9,226.81
7,BILAULI,15-11-2022,13-11-2022,3,143.20
7,BILAULI,18-11-2022,13-11-2022,4,114.78
7,BILAULI,18-11-2022,14-11-2022,3,70.23
7,BILAULI,18-11-2022,15-11-2022,5,152.27
7,BILAULI,19-11-2022,13-11-2022,1,44.50
7,BILAULI,19-11-2022,14-11-2022,7,213.03
7,BILAULI,19-11-2022,15-11-2022,5,162.26
7,BILAULI,19-11-2022,16-11-2022,2,104.74
7,BILAULI,19-11-2022,17-11-2022,2,95.78
7,BILAULI,20-11-2022,15-11-2022,3,118.55
7,BILAULI,20-11-2022,17-11-2022,2,97.96
7,BILAULI,20-11-2022,18-11-2022,1,19.80
7,BILAULI,21-11-2022,15-11-2022,10,231.41
7,BILAULI,21-11-2022,16-11-2022,5,215.77
7,BILAULI,21-11-2022,17-11-2022,1,44.65
7,BILAULI,21-11-2022,20-11-2022,1,44.65
7,BILAULI,21-11-2022,21-11-2022,1,40.84
7,BILAULI,22-11-2022,16-11-2022,2,67.27
7,BILAULI,22-11-2022,17-11-2022,4,137.15
7,BILAULI,22-11-2022,21-11-2022,3,91.32
7,BILAULI,22-11-2022,22-11-2022,4,137.57
7,BILAULI,23-11-2022,17-11-2022,4,113.65
7,BILAULI,23-11-2022,18-11-2022,7,188.93
7,BILAULI,23-11-2022,20-11-2022,1,22.87
7,BILAULI,23-11-2022,21-11-2022,1,46.53
7,BILAULI,23-11-2022,23-11-2022,7,253.44
7,BILAULI,24-11-2022,18-11-2022,1,23.12
7,BILAULI,24-11-2022,20-11-2022,2,64.95
7,BILAULI,24-11-2022,21-11-2022,4,114.59
7,BILAULI,24-11-2022,22-11-2022,4,93.35
7,BILAULI,24-11-2022,23-11-2022,3,94.69
7,BILAULI,24-11-2022,24-11-2022,7,255.91
7,BILAULI,25-11-2022,21-11-2022,1,23.36
7,BILAULI,25-11-2022,23-11-2022,1,23.51
7,BILAULI,25-11-2022,24-11-2022,5,114.59
7,BILAULI,25-11-2022,25-11-2022,8,296.75
7,BILAULI,26-11-2022,24-11-2022,1,47.97
7,BILAULI,26-11-2022,25-11-2022,6,137.46
7,BILAULI,26-11-2022,26-11-2022,6,281.25
7,BILAULI,27-11-2022,25-11-2022,4,91.97
7,BILAULI,27-11-2022,26-11-2022,1,23.22
7,BILAULI,27-11-2022,27-11-2022,12,434.01
7,BILAULI,28-11-2022,26-11-2022,1,23.46
7,BILAULI,28-11-2022,28-11-2022,12,446.86
7,BILAULI,29-11-2022,27-11-2022,2,46.18
7,BILAULI,29-11-2022,28-11-2022,5,135.96
7,BILAULI,29-11-2022,29-11-2022,4,160.67
7,BILAULI,30-11-2022,28-11-2022,1,22.42
7,BILAULI,30-11-2022,29-11-2022,3,121.38
7,BILAULI,30-11-2022,30-11-2022,8,347.93
7,BILAULI,01-12-2022,29-11-2022,4,117.08
7,BILAULI,01-12-2022,30-11-2022,4,114.89
7,BILAULI,01-12-2022,01-12-2022,10,289.08
7,BILAULI,02-12-2022,30-11-2022,1,23.51
7,BILAULI,02-12-2022,01-12-2022,4,120.82
7,BILAULI,02-12-2022,02-12-2022,5,226.35
7,BILAULI,03-12-2022,01-12-2022,1,23.46
7,BILAULI,03-12-2022,02-12-2022,1,50.79
